key,variant,source_value,fr_target,de_target,ja_target,ko_target,es_target
nutrition.bmi.overweight,,Overweight,,,,,
nutrition.bmi.target,,Target BMI: %@,,,,,
nutrition.bmi.underweight,,Underweight,,,,,
nutrition.bmi.whoGuideline,,Based on WHO BMI guidelines,,,,,
nutrition.calculatingCalories,,Estimating calories,,,,,
nutrition.calories,,Calories,,,,,
nutrition.caloriesEstimated,,Estimated Calories,,,,,
nutrition.caloriesPerServing,,Calories per serving,,,,,
nutrition.carbs,,Carbs,,,,,
nutrition.eatenTitle,,Eaten,,,,,
nutrition.fat,,Fats,,,,,
nutrition.goal,,Goal:,,,,,
nutrition.goalCalories,,Goal: %@kcal,,,,,
nutrition.goalWeight,,Goal weight: %@,,,,,
nutrition.plan,,Plan,,,,,
nutrition.protein,,Proteins,,,,,
nutrition.remaining,,Remaining,,,,,
nutrition.targetGoal,,Goal:,,,,,
nutrition.title,,Nutrition,,,,,
nutrition.toReachGoal,,To reach goal,,,,,
nutrition.trackerTitle,,Calorie Tracker,,,,,
nutrition.vsMacroTarget,,Vs Macro target,,,,,
onboarding.activity.high,,High activity,,,,,
onboarding.activity.highDescription,,Intense daily activity or frequent workouts,,,,,
onboarding.activity.light,,Lightly activity,,,,,
onboarding.activity.lightDescription,,Light daily movement or occasional exercise,,,,,
onboarding.activity.low,,Low activity,,,,,
onboarding.activity.lowDescription,,Mostly sitting with little daily movement,,,,,
onboarding.activity.moderate,,Moderate activity,,,,,
onboarding.activity.moderateDescription,,Regular activity or exercise several times a week,,,,,
onboarding.activityLevelTitle,,Your activity level?,,,,,
onboarding.birthYear,,Your birth year,,,,,
onboarding.bmiAdvice.highRisk,,This target keeps you in a high-risk zone. We recommend setting a slightly lower goal for your health.,,,,,
onboarding.bmiAdvice.low,,A bit too low. Aiming for a slightly higher weight will help boost your daily energy.,,,,,
onboarding.bmiAdvice.perfect,,Perfect! A highly realistic and sustainable goal for your body.,,,,,
onboarding.bmiAdvice.severeRiskHigh,,Warning: This goal poses severe health risks. We recommend setting a slightly lower goal for your health.,,,,,
onboarding.bmiAdvice.severeRiskLow,,Warning: This target is extremely low. Please consider a safer weight or consult a doctor.,,,,,
onboarding.bmiAdvice.slightlyHigh,,Slightly above the healthy zone. It’s a manageable starting point to work toward later.,,,,,
onboarding.currentWeight,,Your current weight?,,,,,
onboarding.getStarted,,GET STARTED,,,,,
onboarding.goal.gainWeight,,Gain Weight,,,,,
onboarding.goal.loseWeight,,Lose Weight,,,,,
onboarding.goal.maintainWeight,,Maintain Weight,,,,,
onboarding.goalSummary.gain,,Gain %1$@ from %2$@,,,,,
onboarding.goalSummary.lose,,Lose %1$@ from %2$@,,,,,
onboarding.goalSummary.maintain,,Maintain your weight at %@,,,,,
onboarding.goalSummary.reach,,Reach %@,,,,,
onboarding.goalTitle,,What's your goal?,,,,,
onboarding.height,,How tall are you?,,,,,
onboarding.loading.analyzingGoals,,Analyzing your goals,,,,,
onboarding.loading.buildingMacroPlan,,Building your macro plan,,,,,
onboarding.loading.calculatingCalories,,Calculating daily calories,,,,,
onboarding.loading.calculatingMacros,,Calculating macros,,,,,
onboarding.loading.creatingPlan,,Creating your personalized plan...,,,,,
onboarding.loading.personalizingRecommendations,,Personalizing recommendations,,,,,
onboarding.personalSummary,,Personal Summary,,,,,
onboarding.plan.defaultRecommendation,,"Focus on balanced meals with protein, carbohydrates, and healthy fats to stay on track.",,,,,
onboarding.planReady,,Your Personal Plan is Ready!,,,,,
onboarding.slogan.achieveMore,,Achieve more.,,,,,
onboarding.slogan.scanSmarter,,Scan smarter. Reach goals faster.,,,,,
onboarding.slogan.trackLess,,Track less. ,,,,,
onboarding.startPlan,,Start My Plan,,,,,
